fiscal_year,sales,yoy_sales_growth_pct,net_profit,net_profit_margin_pct,cash_from_ops,cash_conversion_ratio,forecast_next_year_sales
31/03/2025,5239.22,22.6312,1172.08,22.3713,-1859.84,-1.586786,6025.103
31/03/2024,4272.34,42.3022,1125.53,26.3446,-329.9,-0.293106,4913.191
31/03/2023,3002.3,30.9961,889.95,29.6423,804.2,0.903646,3452.645
31/03/2022,2291.9,77.8473,624.81,27.2617,557.55,0.892351,2635.685
31/03/2021,1288.69,72.3769,296.86,23.0358,-1198.67,-4.037829,1481.9935
31/03/2020,747.6,-3.8692,82.35,11.0152,643.3,7.811779,859.74
31/03/2019,777.69,0.9659,79.83,10.265,689.44,8.636352,894.3435
31/03/2018,770.25,75.0369,107.93,14.0123,-309.49,-2.867507,885.7875
31/03/2017,440.05,-2.4712,31.01,7.0469,-209.97,-6.771042,506.0575
31/03/2016,451.2,NULL,31.72,7.0301,-77.44,-2.441362,518.88
